Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
772248;Wien Stadthalle Appartment 35sqm;4074840;Rudolfsheim-Fnfhaus;Entire home/apt;35;2;5;12.03.2016;0.09;1;0;16.06.2020;Vienna;Austria;48.20096570805326, 16.330801954916975;Austria, Vienna, Rudolfsheim-Fnfhaus
779815;Fantastic apartment for up to 6 per;4111982;Mariahilf;Entire home/apt;74;3;40;26.12.2019;0.44;1;365;16.06.2020;Vienna;Austria;48.191369865791685, 16.342888359773234;Austria, Vienna, Mariahilf
780655;Elegant Studio by Convention Centre (Messe/Prater);2941391;Leopoldstadt;Entire home/apt;46;2;93;18.08.2019;Січ.53;9;162;16.06.2020;Vienna;Austria;48.219259602092215, 16.408968893677674;Austria, Vienna, Leopoldstadt
780696;Bright Apartment in Vienna;2941391;Meidling;Entire home/apt;40;2;68;24.08.2019;Січ.15;9;162;16.06.2020;Vienna;Austria;48.185551764388904, 16.34151828332628;Austria, Vienna, Meidling
805190;GoVienna Apartment 2;4236636;Favoriten;Entire home/apt;65;2;25;12.08.2018;0.33;11;0;16.06.2020;Vienna;Austria;48.174854404680296, 16.36506144221351;Austria, Vienna, Favoriten
814488;City-Penthouse with terrace;4100946;Innere Stadt;Entire home/apt;160;2;64;23.12.2019;0.71;9;186;16.06.2020;Vienna;Austria;48.21109248736082, 16.370361611972296;Austria, Vienna, Innere Stadt
957049;ElegantVienna Adagio Judenplatz;1391676;Innere Stadt;Entire home/apt;120;1;48;05.03.2020;0.55;9;324;16.06.2020;Vienna;Austria;48.211506447841906, 16.369518247325598;Austria, Vienna, Innere Stadt
1102809;City Appartment im Zentrum GS2;5874520;Leopoldstadt;Entire home/apt;70;7;22;26.08.2019;0.26;58;358;16.06.2020;Vienna;Austria;48.21900747086128, 16.375976998448614;Austria, Vienna, Leopoldstadt
1226597;Cozy 2-room apartment with terrace;5888815;Rudolfsheim-Fnfhaus;Entire home/apt;65;3;22;17.06.2017;0.26;5;319;16.06.2020;Vienna;Austria;48.197445658753246, 16.328259639106182;Austria, Vienna, Rudolfsheim-Fnfhaus
1412179;3b Renovated apt.Close to city center.Hauptbahnhof;3125186;Landstra§e;Entire home/apt;65;20;77;09.03.2019;0.94;1;365;16.06.2020;Vienna;Austria;48.18934623307383, 16.389321024927124;Austria, Vienna, Landstra§e
1527776;small apartment, 15.Min. from  City;8150154;Meidling;Entire home/apt;33;7;30;01.10.2019;0.48;1;177;16.06.2020;Vienna;Austria;48.17952123072834, 16.33470699652334;Austria, Vienna, Meidling
1592381;1 Bedroom Apartment near Metro U2 Messe, E19;4034068;Leopoldstadt;Entire home/apt;330;1;3;15.09.2016;0.05;14;358;16.06.2020;Vienna;Austria;48.22025876320214, 16.411661698169553;Austria, Vienna, Leopoldstadt
1688140;Cozy & Sunny Modern Flat, Central.;8922093;Favoriten;Entire home/apt;30;2;81;15.12.2019;0.99;1;0;16.06.2020;Vienna;Austria;48.183167888996344, 16.38097499387247;Austria, Vienna, Favoriten
1844074;Bella Apartment near Schönbrunn;5903756;Penzing;Entire home/apt;70;3;17;02.01.2020;0.22;8;0;16.06.2020;Vienna;Austria;48.1947965847561, 16.309713206718833;Austria, Vienna, Penzing
1941968;Exklusives Familien Apartment;9556855;Mariahilf;Entire home/apt;188;5;10;01.10.2018;0.13;12;365;16.06.2020;Vienna;Austria;48.19993334768945, 16.35899740230543;Austria, Vienna, Mariahilf
